"RelativePath","SizeBytes","LastWriteTime","SHA256"
"amd_ags_x64.dll","164864","2023-10-13T20:32:38.0000000+08:00","a1c8af8d9516f57418173d651b869dca6599d6808b5cf9093b9680d77c483bfa"
"MyGUIEngine.dll","1951232","2024-09-23T13:50:02.0000000+08:00","3f1b8466decf0cc4875995d49dd7835dd93d1eb81438fa9c285b19500b3210ff"
"OgreAtmosphere.dll","68096","2024-09-23T10:59:58.0000000+08:00","288219697e9100315573682b784b8d4fee1042653caca216f300f653cd115651"
"OgreHlmsPbs.dll","588800","2024-09-23T11:01:34.0000000+08:00","120af7088efb93236989325bcdb05a5d3b0911fa21390ea8b7bb91934541ffcc"
"OgreHlmsUnlit.dll","145408","2024-09-23T11:00:10.0000000+08:00","5b57169640a21a684461a5840edeb75ff0b5a4965c1513392aeebc0321df9319"
"OgreMain.dll","10469376","2024-09-23T10:59:32.0000000+08:00","b9d4552d11cbc6858b5a35f067aef78d178785e13888063513b9938ca837987f"
"OgreOverlay.dll","742912","2024-09-23T11:01:28.0000000+08:00","ee1ebd1240c5b9f0ec448da44ab38b7cba8dc348b89b04f4ab36b4d956a4f68c"
"OgrePlanarReflections.dll","54272","2024-09-23T11:00:10.0000000+08:00","e26a67066cc8acc5fa58a23dfaace20ea29f249c4aad4bc3f4a43723d6797058"
"OpenAL32.dll","1211392","2023-10-31T19:02:44.0000000+08:00","cac8995e77b8fa37f99f3f62bd83746ebc813aec1d05a6b17f1a85f77380aac5"
"Plugin_ParticleFX.dll","157184","2024-09-23T11:00:22.0000000+08:00","a9eb73b8a74cae1d3864c5276f1458158944baed46d3a5f00d4789079efb2dcb"
"plugins.cfg","219","2024-09-23T15:36:24.0000000+08:00","0101e826dfdbeb975105ff35a85f60a2884a0aba4d536afebeb8fe6a6dbd0255"
"RenderSystem_Direct3D11.dll","541696","2024-09-23T11:01:32.0000000+08:00","6afe09ec72135ab90b0690e4e7d88cfdca8e810483d02537d16eac6d761ff0fa"
"RenderSystem_GL3Plus.dll","558592","2024-09-23T11:01:26.0000000+08:00","319d877ab5e820f06f032ecac1adb42989ea718968ff2d9778361836139f288d"
"RenderSystem_Vulkan.dll","4024832","2024-09-23T11:01:46.0000000+08:00","90db4a9cdefa640aeb4cc1f028766815e006f2646c134118b9fe861fd063da18"
"SDL2.dll","1256960","2023-10-13T20:40:02.0000000+08:00","3d81f62246a5025e9cb9435ef7fc047a126b61c6cfacbae609fc0c83d667c219"
"SR-Editor3 cfg.bat","18","2023-10-31T22:41:54.0000000+08:00","368487ddb044d0efcc97292716d2a96b67f90681566ccdd89b0c251bce616c99"
"SR-Editor3.exe","3353600","2024-12-29T22:07:42.0000000+08:00","24531023420aee0242f021d26c153411dd32b6ffaeb37b05eb3a058c1be45f49"
"SR-Translator.exe","93696","2024-09-23T14:00:54.0000000+08:00","9269c7dafa6692f90c59a488fdaacf13307151a95cb2c0de455b0e1d02b0216e"
"StuntRally3 cfg.bat","19","2023-10-31T22:40:42.0000000+08:00","048241e4cd1c63492ea953388cdcac96aeea4bc4268dd3a879f5aad0f8810008"
"StuntRally3.exe","4591104","2024-12-29T22:07:36.0000000+08:00","52d72fbb67fb9f904432b3a03fc6074024ef5a3f0c78cae07ff4ed0b244fb0e5"
