21:36:38  |  Platform  |  Info  |  * Initialise: RenderManager  |  C:\dev\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2RenderManager.cpp  |  79
21:36:38  |  Platform  |  Info  |  RenderManager successfully initialized  |  C:\dev\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2RenderManager.cpp  |  114
21:36:38  |  Platform  |  Info  |  * Initialise: DataManager  |  C:\dev\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2DataManager.cpp  |  27
21:36:38  |  Platform  |  Info  |  DataManager successfully initialized  |  C:\dev\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2DataManager.cpp  |  35
21:36:38  |  Core  |  Info  |  * Initialise: Gui  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_Gui.cpp  |  61
21:36:38  |  Core  |  Info  |  * MyGUI version 3.2.3  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_Gui.cpp  |  66
21:36:38  |  Core  |  Info  |  * Initialise: ResourceManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  32
21:36:38  |  Core  |  Info  |  ResourceManager successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  40
21:36:38  |  Core  |  Info  |  * Initialise: LayerManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  33
21:36:38  |  Core  |  Info  |  LayerManager successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  41
21:36:38  |  Core  |  Info  |  * Initialise: WidgetManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  53
21:36:38  |  Core  |  Info  |  WidgetManager successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  84
21:36:38  |  Core  |  Info  |  * Initialise: InputManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_InputManager.cpp  |  46
21:36:38  |  Core  |  Info  |  InputManager successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_InputManager.cpp  |  66
21:36:38  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  36
21:36:38  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  56
21:36:38  |  Core  |  Info  |  * Initialise: SkinManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  36
21:36:38  |  Core  |  Info  |  SkinManager successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  46
21:36:38  |  Core  |  Info  |  * Initialise: FontManager  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_FontManager.cpp  |  32
