21:58:06  |  Platform  |  Info  |  * Initialise: RenderManager  |  D:\_\sr\og3\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2RenderManager.cpp  |  79
21:58:06  |  Platform  |  Info  |  RenderManager successfully initialized  |  D:\_\sr\og3\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2RenderManager.cpp  |  114
21:58:06  |  Platform  |  Info  |  * Initialise: DataManager  |  D:\_\sr\og3\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2DataManager.cpp  |  27
21:58:06  |  Platform  |  Info  |  DataManager successfully initialized  |  D:\_\sr\og3\mygui-next\Platforms\Ogre2\Ogre2Platform\src\MyGUI_Ogre2DataManager.cpp  |  35
21:58:06  |  Core  |  Info  |  * Initialise: Gui  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  61
21:58:06  |  Core  |  Info  |  * MyGUI version 3.2.3  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  66
21:58:06  |  Core  |  Info  |  * Initialise: ResourceManager  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  32
21:58:06  |  Core  |  Info  |  ResourceManager successfully initialized  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  40
21:58:06  |  Core  |  Info  |  * Initialise: LayerManager  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  33
21:58:06  |  Core  |  Info  |  LayerManager successfully initialized  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  41
21:58:06  |  Core  |  Info  |  * Initialise: WidgetManager  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  53
21:58:06  |  Core  |  Info  |  WidgetManager successfully initialized  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  84
21:58:06  |  Core  |  Info  |  * Initialise: InputManager  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_InputManager.cpp  |  46
21:58:06  |  Core  |  Info  |  InputManager successfully initialized  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_InputManager.cpp  |  66
21:58:06  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  36
