# W1 Smoke Log Snapshot Before
Date: 2026-04-30
LogRoot: C:\Users\julie\AppData\Roaming\stuntrally3


Name                  Length LastWriteTime
----                  ------ -------------
brushes.ini            34275 19/9/2024 9:22:08 am
brushes.png          1942065 19/9/2024 9:22:08 am
editor.cfg              3231 29/4/2026 9:57:53 pm
editor.cfg.bak_audit    3226 29/4/2026 9:56:42 pm
game.cfg                6097 29/4/2026 9:56:26 pm
input_p0.xml            4098 29/4/2026 9:56:27 pm
input_p1.xml            3713 29/4/2026 9:56:27 pm
input_p2.xml            3713 29/4/2026 9:56:27 pm
input_p3.xml            3718 29/4/2026 9:56:27 pm
input_p4.xml            3305 29/4/2026 9:56:27 pm
input_p5.xml            3305 29/4/2026 9:56:27 pm
input.xml               2451 29/4/2026 9:56:27 pm
MyGUI_ed.log           11388 29/4/2026 9:58:06 pm
MyGUI.log              16311 29/4/2026 9:56:26 pm
ogre_ed.cfg              515 29/4/2026 9:58:06 pm
Ogre_ed.log            60523 29/4/2026 9:58:08 pm
ogre.cfg                 511 29/4/2026 9:56:00 pm
Ogre.log               73905 29/4/2026 9:56:26 pm
paint.cfg               2805 29/4/2026 9:56:26 pm
progress_rev.xml       22249 29/4/2026 9:56:00 pm
progress.xml           22249 29/4/2026 9:56:00 pm
progressC.xml           4356 29/4/2026 9:56:00 pm
progressL_rev.xml      34170 29/4/2026 9:56:00 pm
progressL.xml          34170 29/4/2026 9:56:00 pm
tracks.xml             12330 29/4/2026 9:56:26 pm


